,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,case:Activity_acc,case:OrganizationalEntity_acc,case:Project_acc,case:RequestedAmount_mae,case:RfpNumber_acc,case:Task_acc,org:resource_acc,org:role_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
13,13,13_0,COMPLETED,BoTorch,8.158439170576752,0.8925837874412537,0.6191787719726562,1.0,1.0,1.0,0.052233038105718464,0.0026365029625594616,0.9700629711151123,0.9942167401313782,0.9926007986068726,0.20481550725905792,0.025648813789507275,128,2,128,2,max
1,1,1_0,COMPLETED,Sobol,8.269190196406504,0.8195271492004395,0.5475084185600281,1.0,1.0,0.9956625699996948,0.2560630341910798,0.0386120080947876,0.9174179434776306,0.9945569038391113,0.991835355758667,0.14531515708760076,0.020423111474986877,128,2,128,2,max
9,9,9_0,COMPLETED,BoTorch,8.8842532294973,0.9065317511558533,0.6737915277481079,1.0,1.0,1.0,0.0812231962285612,0.00025514542357996106,0.9937914609909058,0.9961728453636169,0.9929410219192505,0.2591859792237696,0.037204241474542675,128,2,128,2,max
19,19,19_0,COMPLETED,BoTorch,8.992351566222997,0.8236945271492004,0.528022825717926,0.9996598362922668,0.9999149441719055,0.9998299479484558,0.07941969508386176,0.0005102908471599221,0.9382548332214355,0.991665244102478,0.9737200140953064,0.12898295931518078,0.024115794168494353,128,1,128,2,max
15,15,15_0,COMPLETED,BoTorch,9.469369881528939,0.7341384887695312,0.4783657193183899,0.9996598362922668,1.0,0.9997448921203613,0.08678523936997289,0.033594150096178055,0.8620513677597046,0.9948120713233948,0.9720190763473511,0.15559923146729884,0.023719859839472796,128,2,128,2,max
11,11,11_0,COMPLETED,BoTorch,9.557756346090647,0.8577989339828491,0.5337885022163391,1.0,0.9997448921203613,0.9986392259597778,0.27667447535888007,0.03384929522871971,0.8782106041908264,0.9951522350311279,0.9745705127716064,0.28312612486922223,0.02781641993206753,256,2,128,2,max
7,7,7_0,COMPLETED,BoTorch,9.583894476684147,0.9669161438941956,0.7415571212768555,1.0,1.0,0.9988093376159668,0.18095744142065878,0.0014458241639658809,0.8930090069770813,0.9965980648994446,0.9937914609909058,0.12806146462326465,0.01255922977689178,128,2,128,2,max
10,10,10_0,COMPLETED,BoTorch,9.596615699873881,0.8826330900192261,0.6394376158714294,1.0,1.0,0.9992345571517944,0.26096957225514494,0.0013607756700366735,0.8977717757225037,0.9949821829795837,0.9710835218429565,0.38608062720817066,0.07390792857825801,512,1,128,2,max
6,6,6_0,COMPLETED,BoTorch,9.765704579052889,0.9260928630828857,0.6234307289123535,0.9996598362922668,1.0,0.9986392259597778,0.15330628378559713,0.0,0.9724442958831787,0.992685854434967,0.9899643063545227,0.27989625153334247,0.02318381372049776,128,1,128,2,max
17,17,17_0,COMPLETED,BoTorch,9.78885694698639,0.9205647110939026,0.6909745335578918,0.9996598362922668,1.0,0.9992345571517944,0.1812006180053172,0.0,0.8878210783004761,0.9920905232429504,0.9900493621826172,0.20646887904276018,0.03953134206810678,512,2,128,2,max
14,14,14_0,COMPLETED,BoTorch,9.949790072467868,0.8163803815841675,0.560060977935791,0.9991495609283447,1.0,1.0,0.15654343366622925,0.03503997251391411,0.8763395547866821,0.987667977809906,0.9274536967277527,0.20942254575050395,0.1,128,1,128,2,max
8,8,8_0,COMPLETED,BoTorch,10.014476924403425,0.9092532992362976,0.7153627276420593,1.0,1.0,0.9986392259597778,0.13045386079212892,0.0017009696457535028,0.8197823166847229,0.9798435568809509,0.9638544321060181,0.49036885133903957,0.1,512,2,128,2,max
12,12,12_0,COMPLETED,BoTorch,10.016442474164794,0.7905256152153015,0.5992292165756226,0.9999149441719055,0.9994897246360779,0.9977037310600281,0.16187226262105547,0.025344446301460266,0.8805069327354431,0.9946419596672058,0.925327479839325,0.4447100309898024,0.1,128,2,128,2,max
5,5,5_0,COMPLETED,Sobol,10.261336057634589,0.9675965309143066,0.7297855019569397,1.0,1.0,0.9963429570198059,0.1032494097624136,0.0321483239531517,0.7602483630180359,0.9953223466873169,0.9243919253349304,0.05012515701515519,0.0039125900358181875,128,1,128,2,max
18,18,18_0,COMPLETED,BoTorch,10.451558808753521,0.8845041990280151,0.5850296020507812,1.0,0.9994046688079834,0.9984691739082336,0.10568977916694205,0.0,0.8153597712516785,0.9840959310531616,0.9799285531044006,0.6710284831731216,0.1,512,1,128,2,max
16,16,16_0,COMPLETED,BoTorch,10.708646240511786,0.8453818559646606,0.5085697770118713,0.9994046688079834,0.9993196129798889,0.9966831207275391,0.08106066711732875,0.03308385983109474,0.7941827178001404,0.9933662414550781,0.9254975318908691,0.22761613843233688,0.027034625220720667,128,2,128,2,max
2,2,2_0,COMPLETED,Sobol,10.780167254533412,0.8622214794158936,0.6059839725494385,0.9994897246360779,0.9988943934440613,0.978652834892273,0.12483915646115075,0.022197652608156204,0.7393264174461365,0.9905596375465393,0.9350230097770691,0.07424982317277919,0.007958031792637701,512,1,128,2,max
3,3,3_0,COMPLETED,Sobol,12.852048661048288,0.8603504300117493,0.6270807981491089,0.9993196129798889,0.8469977974891663,0.7081986665725708,0.034916277387705835,0.029681919142603874,0.7112604379653931,0.9902194738388062,0.9146113395690918,0.04002993596393777,0.0020553520010210082,256,2,128,2,max
4,4,4_0,COMPLETED,Sobol,16.31748841580449,0.743408739566803,0.4395890235900879,0.9983841180801392,0.6172818541526794,0.4930260479450226,0.029919983414204224,0.032998811453580856,0.7059023976325989,0.9397857189178467,0.8727675080299377,0.08585683191600053,0.0010138939569658027,512,2,128,2,max
0,0,0_0,COMPLETED,Sobol,19.483816741884727,0.727929949760437,0.3188934624195099,0.9983841180801392,0.23609457910060883,0.21644838154315948,0.014973301197523657,0.03308385983109474,0.7059023976325989,0.8431706428527832,0.8450416922569275,0.04207767914656712,0.0001865322718407359,256,1,128,2,max
